language,strategy,threshold,threshold_sd,n_draws,f1,f1_sd,fpr,fnr,precision,recall,predicted_positive_rate,objective_value,is_degenerate,is_source,test_auroc,test_prevalence,dev_prevalence,n_dev,n_test,tau_source,source_language,objective,f1_ci_low,f1_ci_high,f1_target_full,f1_gap_to_full,prevalence_setting,fpr_budget,task,encoder,exp_id
tt,few_label_16_rand,0.9338578490320667,0.0771570745296202,25,0.18647041513303833,0.11519861762491831,0.0941832669322709,0.8738420348058902,0.6434219619949648,0.12615796519410977,0.11010666666666663,0.12615796519410977,False,False,0.5184634065256155,0.498,0.454,1000,1500,0.6076457815873632,en,target_fpr,,,0.14489311163895485,-0.04157730349408348,native,0.05,toxicity,encoder_minilm,EXP-007
tt,few_label_32_strat,0.965649994694854,0.025452801159834282,25,0.13204253760972137,0.07382394525753304,0.04706507304116865,0.9220883534136546,0.7020022175365536,0.07791164658634538,0.062426666666666665,0.07791164658634538,False,False,0.5184634065256155,0.498,0.454,1000,1500,0.6076457815873632,en,target_fpr,,,0.14489311163895485,0.01285057402923348,native,0.05,toxicity,encoder_minilm,EXP-007
tt,few_label_32_rand,0.9574361145497705,0.02486094570217819,25,0.1594494636383042,0.06936631097031186,0.06395750332005312,0.9041499330655957,0.6484706129917144,0.09585006693440429,0.07984000000000001,0.09585006693440429,False,False,0.5184634065256155,0.498,0.454,1000,1500,0.6076457815873632,en,target_fpr,,,0.14489311163895485,-0.014556351999349348,native,0.05,toxicity,encoder_minilm,EXP-007
tt,few_label_64_strat,0.9678319800769002,0.012893005994834504,25,0.1344495157103293,0.04268709644465443,0.04371845949535192,0.9235341365461847,0.6607251904917665,0.07646586345381526,0.060026666666666666,0.07646586345381526,False,False,0.5184634065256155,0.498,0.454,1000,1500,0.6076457815873632,en,target_fpr,,,0.14489311163895485,0.010443595928625565,native,0.05,toxicity,encoder_minilm,EXP-007
tt,few_label_64_rand,0.9743662966203371,0.010705735243438864,25,0.11139572151454726,0.04084604730450226,0.031181938911022576,0.938206157965194,0.7105423053322879,0.06179384203480589,0.04642666666666666,0.06179384203480589,False,False,0.5184634065256155,0.498,0.454,1000,1500,0.6076457815873632,en,target_fpr,,,0.14489311163895485,0.0334973901244076,native,0.05,toxicity,encoder_minilm,EXP-007
tt,few_label_128_strat,0.9633118889530747,0.01210133668130142,25,0.1501638372201517,0.03614117759176312,0.052483399734395746,0.913574297188755,0.6364307918468686,0.086425702811245,0.06938666666666667,0.086425702811245,False,False,0.5184634065256155,0.498,0.454,1000,1500,0.6076457815873632,en,target_fpr,,,0.14489311163895485,-0.0052707255811968445,native,0.05,toxicity,encoder_minilm,EXP-007
tt,few_label_128_rand,0.9689716709350731,0.013051997977599922,25,0.13041510023956848,0.045105594881028825,0.04175298804780876,0.9259973226238286,0.677042903354112,0.07400267737617135,0.057813333333333335,0.07400267737617135,False,False,0.5184634065256155,0.498,0.454,1000,1500,0.6076457815873632,en,target_fpr,,,0.14489311163895485,0.01447801139938637,native,0.05,toxicity,encoder_minilm,EXP-007
tt,few_label_256_strat,0.966516432392841,0.006355010264396364,25,0.14157108883635597,0.019089475225772836,0.046374501992031865,0.92,0.6370380370858773,0.08,0.06312000000000001,0.08,False,False,0.5184634065256155,0.498,0.454,1000,1500,0.6076457815873632,en,target_fpr,,,0.14489311163895485,0.003322022802598884,native,0.05,toxicity,encoder_minilm,EXP-007
tt,few_label_256_rand,0.9665934419829676,0.007616445282107072,25,0.1402038888862051,0.023015749905689626,0.04579017264276228,0.9207496653279786,0.6415641347181328,0.07925033467202142,0.06245333333333334,0.07925033467202142,False,False,0.5184634065256155,0.498,0.454,1000,1500,0.6076457815873632,en,target_fpr,,,0.14489311163895485,0.004689222752749744,native,0.05,toxicity,encoder_minilm,EXP-007
tt,target_full,0.9674550641828019,0.0,1,0.14489311163895485,0.0,0.0451527224435591,0.9183400267737617,0.6421052631578947,0.08165997322623829,0.06333333333333334,0.08165997322623829,False,False,0.5184634065256155,0.498,0.454,1000,1500,0.6076457815873632,en,target_fpr,0.10971697181912675,0.17580805195586158,0.14489311163895485,0.0,native,0.05,toxicity,encoder_minilm,EXP-007
tt,test_oracle_unachievable,0.9673645171928428,0.0,1,0.1447212336892052,0.0,0.04648074369189907,0.9183400267737617,0.6354166666666666,0.08165997322623829,0.064,0.08165997322623829,False,False,0.5184634065256155,0.498,0.454,1000,1500,0.6076457815873632,en,target_fpr,,,0.14489311163895485,0.00017187794974965476,native,0.05,toxicity,encoder_minilm,EXP-007
uk,fixed_half,0.5,0.0,1,0.66993006993007,0.0,0.2776315789473684,0.3527027027027027,0.6942028985507246,0.6472972972972973,0.46,0.6472972972972973,False,False,0.7623275248933143,0.49333333333333335,0.494,1000,1500,0.6076457815873632,en,target_fpr,,,0.4199796126401631,-0.2499504572899069,native,0.05,toxicity,encoder_minilm,EXP-007
uk,source_global,0.6076457815873632,0.0,1,0.6337386018237082,0.0,0.20921052631578949,0.43648648648648647,0.7239583333333334,0.5635135135135135,0.384,0.5635135135135135,False,False,0.7623275248933143,0.49333333333333335,0.494,1000,1500,0.6076457815873632,en,target_fpr,0.604060534514176,0.6617672795838849,0.4199796126401631,-0.21375898918354513,native,0.05,toxicity,encoder_minilm,EXP-007
uk,pooled_global,0.8844568960663772,0.0,1,0.4271255060728744,0.0,0.04868421052631579,0.7148648648648649,0.8508064516129032,0.2851351351351351,0.16533333333333333,0.2851351351351351,False,False,0.7623275248933143,0.49333333333333335,0.494,1000,1500,0.6076457815873632,en,target_fpr,,,0.4199796126401631,-0.0071458934327113255,native,0.05,toxicity,encoder_minilm,EXP-007
uk,worstcase_global,0.9674550641828019,0.0,1,0.19441069258809238,0.0,0.003947368421052632,0.8918918918918919,0.963855421686747,0.10810810810810811,0.05533333333333333,0.10810810810810811,False,False,0.7623275248933143,0.49333333333333335,0.494,1000,1500,0.6076457815873632,en,target_fpr,,,0.4199796126401631,0.22556892005207071,native,0.05,toxicity,encoder_minilm,EXP-007
uk,quantile_match,0.49670043164288985,0.0,1,0.6708420320111342,0.0,0.28289473684210525,0.34864864864864864,0.6915351506456241,0.6513513513513514,0.4646666666666667,0.6513513513513514,False,False,0.7623275248933143,0.49333333333333335,0.494,1000,1500,0.6076457815873632,en,target_fpr,,,0.4199796126401631,-0.25086241937097115,native,0.05,toxicity,encoder_minilm,EXP-007
uk,sld_em,0.6595743386185611,0.0,1,0.6229249011857708,0.0,0.1723684210526316,0.46756756756756757,0.7504761904761905,0.5324324324324324,0.35,0.5324324324324324,False,False,0.7623275248933143,0.49333333333333335,0.494,1000,1500,0.6076457815873632,en,target_fpr,,,0.4199796126401631,-0.20294528854560773,native,0.05,toxicity,encoder_minilm,EXP-007
uk,bbse,0.6985522989087611,0.0,1,0.6011466011466011,0.0,0.15,0.504054054054054,0.762993762993763,0.49594594594594593,0.32066666666666666,0.49594594594594593,False,False,0.7623275248933143,0.49333333333333335,0.494,1000,1500,0.6076457815873632,en,target_fpr,,,0.4199796126401631,-0.18116698850643803,native,0.05,toxicity,encoder_minilm,EXP-007
uk,few_label_8_strat,0.7405822169061428,0.1630764971304781,25,0.5236958607075642,0.12934675894427722,0.13299999999999998,0.575027027027027,0.7924422763355738,0.424972972972973,0.27704,0.424972972972973,False,False,0.7623275248933143,0.49333333333333335,0.494,1000,1500,0.6076457815873632,en,target_fpr,,,0.4199796126401631,-0.10371624806740115,native,0.05,toxicity,encoder_minilm,EXP-007
